أَفْعَال|جمع تكسير (أفعال)
أَفْعَل|اسم تفضيل
أَفْعَلَ|فعل رباعي (إفعال)
إِفْعَال|مصدر الإفعال
اِسْتَفْعَلَ|فعل استفعال
اِسْتِفْعَال|مصدر الاستفعال
اِفْتَعَلَ|فعل افتعال
اِفْتِعَال|مصدر الافتعال
اِفْعَلَّ|فعل افعلال
اِنْفَعَلَ|فعل مطاوعة (انفعال)
اِنْفِعَال|مصدر الانفعال
تَفَاعَلَ|فعل تفاعل
تَفَاعُل|مصدر التفاعل
تَفَعَّلَ|فعل تفعّل
تَفَعُّل|مصدر التفعّل
تَفْعِيل|مصدر التفعيل
فَاعَلَ|فعل مفاعلة
فَاعِل|اسم فاعل
فَعَلَ|فعل ماضٍ (باب فَعَلَ)
فَعَّال|صيغة مبالغة (فَعّال)
فَعَّلَ|فعل مضعّف (تفعيل)
فَعُلَ|فعل ماضٍ (باب فَعُلَ)
فَعُول|صيغة مبالغة (فَعول)
فَعِل|صفة مشبهة (فَعِل)
فَعِلَ|فعل ماضٍ (باب فَعِلَ)
فَعِيل|صفة مشبهة
فَعْل|مصدر (فَعْل)
فَعْلَة|مصدر المرة (فَعلة)
فُعَّال|جمع تكسير (فُعّال)
فُعُول|مصدر (فُعول)
فُعْل|مصدر (فُعْل)
فِعَال|مصدر (فِعال)
فِعَالَة|مصدر (فِعالة)
فِعْل|مصدر (فِعْل)
فِعْلَة|مصدر المرة
فِعْلِيّ|نسبة (فِعلي)
مَفْعَل|اسم مكان / زمان
مَفْعَلَة|اسم مكان (مَفعَلة)
مَفْعُول|اسم مفعول
مَفْعِل|اسم مكان / زمان (مَفعِل)
مُتَفَاعِل|اسم فاعل (تفاعل)
مُتَفَعِّل|اسم فاعل (تفعّل)
مُسْتَفْعَل|اسم مفعول (استفعال)
مُسْتَفْعِل|اسم فاعل (استفعال)
مُفَاعَل|اسم مفعول (مفاعلة)
مُفَاعَلَة|مصدر المفاعلة
مُفَاعِل|اسم فاعل (مفاعلة)
مُفَعَّل|اسم مفعول (تفعيل)
مُفَعِّل|اسم فاعل (تفعيل)
مُفْتَعِل|اسم فاعل (افتعال)
مُنْفَعِل|اسم فاعل (انفعال)
مِفْعَال|اسم آلة (مِفعال)
مِفْعَل|اسم آلة (مِفعَل)
مِفْعَلَة|اسم آلة (مِفعَلة)
يَفْعَلُ|فعل مضارع (يَفْعَلُ)
يَفْعُلُ|فعل مضارع (يَفْعُلُ)
يَفْعِلُ|فعل مضارع (يَفْعِلُ)
